id,label
0006b1,0
000c2f,0
000c69,0
001611,0
001a77,0
0026c9,0
0036e5,0
003f42,0
003fce,0
005060,0
007394,0
00847a,0
00898f,0
008bc1,0
009d7d,0
00a02a,0
00a176,0
00b848,0
00c311,0
00d33d,0
00d3b1,0
00d3b4,0
00d3cb,0
00dcd2,0
00e016,0
00e280,0
00e32a,0
00f8f8,0
00fc26,0
01069c,0
010deb,0
011d4b,0
011eb8,0
01252b,0
012a32,0
01304a,0
015032,0
015539,0
0157d5,0
015b8f,0
016987,0
016e65,0
017c9c,0
01943d,0
01a6ff,0
01a79a,0
01adce,0
01b281,0
01b7f0,0
01c4db,0
01c6f8,0
01cc95,0
01cfa9,0
01d3e6,0
01d7f2,0
01e194,0
01e1ee,0
01e54a,0
01ee3d,0
01f5ea,0
0205f2,0
020c55,0
0212f3,0
021f8f,0
022790,0
022a65,0
022cdb,0
022ebb,0
0231b2,0
02422c,0
0245b4,0
024647,0
0247ae,0
025243,0
025cc9,0
0267ac,0
027a4c,0
027c47,0
028ba9,0
0298fa,0
02c2c4,0
02cf0d,0
02d2ae,0
02d4e6,0
02dc94,0
02ddcd,0
02de78,0
02e02a,0
02e2bc,0
02f681,0
02fc96,0
030392,0
031387,0
031b79,0
031c9e,0
034022,0
034f8b,0
035dfb,0
035f17,0
0362f0,0
036937,0
036eec,0
036f7f,0
0372e0,0
03734f,0
03758b,0
03981d,0
03bb1a,0
03c798,0
03d738,0
03e80f,0
03e953,0
03eecb,0
03fe2d,0
0402bb,0
041d78,0
041f24,0
0420d9,0
04224f,0
042b64,0
042d56,0
043e7f,0
04451f,0
045880,0
045c21,0
046fba,0
0491b5,0
049737,0
04b18e,0
04bf47,0
04c2a0,0
04cbf1,0
04cca6,0
04dba7,0
04ea1a,0
04ea60,0
04ed82,0
04f35b,0
04f4bc,0
05099b,0
051788,0
053131,0
054fef,0
055183,0
0558ad,0
0564a6,0
056a10,0
057054,0
057cfd,0
058775,0
05add0,0
05b00c,0
05bf6a,0
05c6a5,0
05cc3b,0
05cd5e,0
05d0bb,0
05d382,0
05d990,0
05e90e,0
05e982,0
05ef3c,0
05f213,0
05f45b,0
05f53e,0
05f75e,0
05fb42,0
05fc15,0
0626ad,0
063a9d,0
063df6,0
065304,0
0655c0,0
065bc6,0
065d44,0
066be8,0
066cbf,0
066dda,0
